"internal_taxon_name","GL_estimate","Source"
"Lasionycteris noctivagans",4,"Pacifici et al. (2013, NatCons)"
"Muntiacus vaginalis",4,"Pacifici et al. (2013, NatCons)"
"Neovison vison",4,"Pacifici et al. (2013, NatCons)"
"Myotis volans",4.1,"Pacifici et al. (2013, NatCons)"
"Antrozous pallidus",4.2,"Pacifici et al. (2013, NatCons)"
"Setifer setosus",4.2,"Pacifici et al. (2013, NatCons)"
"Cerdocyon thous",4.2,"Pacifici et al. (2013, NatCons)"
"Canis adustus",4.2,"Pacifici et al. (2013, NatCons)"
"Mustela africana",4.3,"Pacifici et al. (2013, NatCons)"
"Lynx pardinus",4.3,"Pacifici et al. (2013, NatCons)"
"Myotis velifer",4.3,"Pacifici et al. (2013, NatCons)"
"Porcula salvania",4.4,"Pacifici et al. (2013, NatCons)"
"Myoprocta acouchy",4.4,"Pacifici et al. (2013, NatCons)"
"Spilocuscus maculatus",4.5,"Pacifici et al. (2013, NatCons)"
"Dendrohyrax dorsalis",4.6,"Pacifici et al. (2013, NatCons)"
"Dasyprocta punctata",4.6,"Pacifici et al. (2013, NatCons)"
"Felis nigripes",4.6,"Pacifici et al. (2013, NatCons)"
"Sarcophilus harrisii",4.7,"Pacifici et al. (2013, NatCons)"
"Capromys pilorides",4.7,"Pacifici et al. (2013, NatCons)"
"Mephitis mephitis",4.8,"Pacifici et al. (2013, NatCons)"
"Conepatus semistriatus",4.8,"Pacifici et al. (2013, NatCons)"
"Moschiola meminna",4.9,"Pacifici et al. (2013, NatCons)"
"Pelea capreolus",4.9,"Pacifici et al. (2013, NatCons)"
"Tadarida brasiliensis",5,"Pacifici et al. (2013, NatCons)"
"Rousettus aegyptiacus",5,"Pacifici et al. (2013, NatCons)"
"Chinchilla lanigera",5,"Pacifici et al. (2013, NatCons)"
"Tragulus javanicus",5,"Pacifici et al. (2013, NatCons)"
"Tragulus kanchil",5,"Pacifici et al. (2013, NatCons)"
"Canis mesomelas",5,"Pacifici et al. (2013, NatCons)"
"Petrogale assimilis",5,"Pacifici et al. (2013, NatCons)"
"Tamandua tetradactyla",5.1,"Pacifici et al. (2013, NatCons)"
"Raphicerus melanotis",5.1,"Pacifici et al. (2013, NatCons)"
"Vulpes zerda",5.1,"Pacifici et al. (2013, NatCons)"
"Muntiacus feae",5.2,"Pacifici et al. (2013, NatCons)"
"Solenodon paradoxus",5.2,"Pacifici et al. (2013, NatCons)"
"Felis chaus",5.2,"Pacifici et al. (2013, NatCons)"
"Artibeus jamaicensis",5.3,"Pacifici et al. (2013, NatCons)"
"Otocyon megalotis",5.4,"Pacifici et al. (2013, NatCons)"
"Muntiacus montanus",5.4,"Pacifici et al. (2013, NatCons)"
"Echinops telfairi",5.4,"Pacifici et al. (2013, NatCons)"
"Priodontes maximus",5.4,"Pacifici et al. (2013, NatCons)"
"Axis kuhlii",5.4,"Pacifici et al. (2013, NatCons)"
"Hypogeomys antimena",5.5,"Pacifici et al. (2013, NatCons)"
"Dobsonia moluccensis",5.5,"Pacifici et al. (2013, NatCons)"
"Canis rufus",5.5,"Pacifici et al. (2013, NatCons)"
"Mazama americana",5.5,"Pacifici et al. (2013, NatCons)"
"Gazella cuvieri",5.5,"Pacifici et al. (2013, NatCons)"
"Dendrohyrax arboreus",5.6,"Pacifici et al. (2013, NatCons)"
"Muntiacus gongshanensis",5.6,"Pacifici et al. (2013, NatCons)"
"Hydrochoerus hydrochaeris",5.6,"Pacifici et al. (2013, NatCons)"
"Babyrousa togeanensis",5.6,"Pacifici et al. (2013, NatCons)"
"Potamochoerus larvatus",5.7,"Pacifici et al. (2013, NatCons)"
"Tragulus williamsoni",5.7,"Pacifici et al. (2013, NatCons)"
"Cuniculus paca",5.7,"Pacifici et al. (2013, NatCons)"
"Dasyprocta leporina",5.7,"Pacifici et al. (2013, NatCons)"
"Vulpes vulpes",5.8,"Pacifici et al. (2013, NatCons)"
"Muntiacus puhoatensis",5.8,"Pacifici et al. (2013, NatCons)"
"Heterohyrax brucei",5.9,"Pacifici et al. (2013, NatCons)"
"Mazama gouazoubira",5.9,"Pacifici et al. (2013, NatCons)"
"Vulpes corsac",6,"Pacifici et al. (2013, NatCons)"
"Mazama nemorivaga",6,"Pacifici et al. (2013, NatCons)"
"Moschiola kathygre",6,"Pacifici et al. (2013, NatCons)"
"Phacochoerus africanus",6,"Pacifici et al. (2013, NatCons)"
"Muntiacus rooseveltorum",6.1,"Pacifici et al. (2013, NatCons)"
"Vulpes macrotis",6.1,"Pacifici et al. (2013, NatCons)"
"Muntiacus putaoensis",6.1,"Pacifici et al. (2013, NatCons)"
"Marmota menzbieri",6.2,"Pacifici et al. (2013, NatCons)"
"Moschiola indica",6.3,"Pacifici et al. (2013, NatCons)"
"Mazama temama",6.3,"Pacifici et al. (2013, NatCons)"
"Tragulus versicolor",6.4,"Pacifici et al. (2013, NatCons)"
"Prionailurus bengalensis",6.4,"Pacifici et al. (2013, NatCons)"
"Spilogale angustifrons",6.5,"Pacifici et al. (2013, NatCons)"
"Vulpes velox",6.5,"Pacifici et al. (2013, NatCons)"
"Mustela subpalmata",6.5,"Pacifici et al. (2013, NatCons)"
"Eptesicus fuscus",6.6,"Pacifici et al. (2013, NatCons)"
"Muntiacus muntjak",6.6,"Pacifici et al. (2013, NatCons)"
"Axis calamianensis",6.6,"Pacifici et al. (2013, NatCons)"
"Capricornis swinhoei",6.6,"Pacifici et al. (2013, NatCons)"
"Sus oliveri",6.7,"Pacifici et al. (2013, NatCons)"
"Rupicapra pyrenaica",6.7,"Pacifici et al. (2013, NatCons)"
"Sus ahoenobarbus",6.7,"Pacifici et al. (2013, NatCons)"
"Capra pyrenaica",6.8,"Pacifici et al. (2013, NatCons)"
"Sus bucculentus",6.8,"Pacifici et al. (2013, NatCons)"
"Genetta tigrina",6.8,"Pacifici et al. (2013, NatCons)"
"Marmota marmota",6.9,"Pacifici et al. (2013, NatCons)"
"Naemorhedus caudatus",7,"Pacifici et al. (2013, NatCons)"
"Naemorhedus goral",7,"Pacifici et al. (2013, NatCons)"
"Rusa alfredi",7,"Pacifici et al. (2013, NatCons)"
"Muntiacus truongsonensis",7.1,"Pacifici et al. (2013, NatCons)"
"Dama mesopotamica",7.1,"Pacifici et al. (2013, NatCons)"
"Hippocamelus bisulcus",7.2,"Pacifici et al. (2013, NatCons)"
"Tragulus nigricans",7.3,"Pacifici et al. (2013, NatCons)"
"Eira barbara",7.4,"Pacifici et al. (2013, NatCons)"
"Saguinus mystax",7.4,"Pacifici et al. (2013, NatCons)"
"Procyon lotor",7.4,"Pacifici et al. (2013, NatCons)"
"Desmodus rotundus",7.6,"Pacifici et al. (2013, NatCons)"
"Saguinus imperator",7.7,"Pacifici et al. (2013, NatCons)"
"Leopardus geoffroyi",7.7,"Pacifici et al. (2013, NatCons)"
"Equus ferus",7.8,"Pacifici et al. (2013, NatCons)"
"Ovis ammon",8,"Pacifici et al. (2013, NatCons)"
"Bubalus quarlesi",8,"Pacifici et al. (2013, NatCons)"
"Budorcas taxicolor",8,"Pacifici et al. (2013, NatCons)"
"Muntiacus reevesi",8,"Pacifici et al. (2013, NatCons)"
"Babyrousa babyrussa",8.1,"Pacifici et al. (2013, NatCons)"
"Nasua narica",8.2,"Pacifici et al. (2013, NatCons)"
"Erethizon dorsatum",8.2,"Pacifici et al. (2013, NatCons)"
"Leopardus pardalis",8.2,"Pacifici et al. (2013, NatCons)"
"Taxidea taxus",8.3,"Pacifici et al. (2013, NatCons)"
"Proteles cristata",8.3,"Pacifici et al. (2013, NatCons)"
"Coendou prehensilis",8.3,"Pacifici et al. (2013, NatCons)"
"Capreolus pygargus",8.4,"Pacifici et al. (2013, NatCons)"
"Potamochoerus porcus",8.6,"Pacifici et al. (2013, NatCons)"
"Capricornis crispus",8.6,"Pacifici et al. (2013, NatCons)"
"Bassariscus sumichrasti",8.6,"Pacifici et al. (2013, NatCons)"
"Lynx lynx",9.1,"Pacifici et al. (2013, NatCons)"
"Lynx canadensis",9.3,"Pacifici et al. (2013, NatCons)"
"Dendrolagus matschiei",9.3,"Pacifici et al. (2013, NatCons)"
"Elaphurus davidianus",9.7,"Pacifici et al. (2013, NatCons)"
"Vombatus ursinus",9.7,"Pacifici et al. (2013, NatCons)"
"Delphinus delphis",9.7,"Pacifici et al. (2013, NatCons)"
"Cephalorhynchus commersonii",9.7,"Pacifici et al. (2013, NatCons)"
"Equus kiang",10.1,"Pacifici et al. (2013, NatCons)"
"Pteropus rodricensis",10.5,"Pacifici et al. (2013, NatCons)"
"Phocoenoides dalli",10.6,"Pacifici et al. (2013, NatCons)"
"Myrmecophaga tridactyla",11.3,"Pacifici et al. (2013, NatCons)"
"Tolypeutes matacus",11.7,"Pacifici et al. (2013, NatCons)"
"Lagenorhynchus acutus",12.7,"Pacifici et al. (2013, NatCons)"
"Choloepus didactylus",12.8,"Pacifici et al. (2013, NatCons)"
"Lipotes vexillifer",13.3,"Pacifici et al. (2013, NatCons)"
"Choloepus hoffmanni",14,"Pacifici et al. (2013, NatCons)"
"Ailuropoda melanoleuca",14.4,"Pacifici et al. (2013, NatCons)"
"Delphinapterus leucas",15.5,"Pacifici et al. (2013, NatCons)"
"Tachyglossus aculeatus",15.6,"Pacifici et al. (2013, NatCons)"
"Hyperoodon ampullatus",17.7,"Pacifici et al. (2013, NatCons)"
"Lagenorhynchus obliquidens",18.3,"Pacifici et al. (2013, NatCons)"
"Phoca largha",19,"Pacifici et al. (2013, NatCons)"
"Trichechus manatus",20,"Pacifici et al. (2013, NatCons)"
"Stenella coeruleoalba",21.7,"Pacifici et al. (2013, NatCons)"
"Balaenoptera acutorostrata",22,"Pacifici et al. (2013, NatCons)"
"Peponocephala electra",22.6,"Pacifici et al. (2013, NatCons)"
"Stenella attenuata",23,"Pacifici et al. (2013, NatCons)"
"Globicephala macrorhynchus",23.7,"Pacifici et al. (2013, NatCons)"
"Globicephala melas",24,"Pacifici et al. (2013, NatCons)"
"Berardius bairdii",27,"Pacifici et al. (2013, NatCons)"
"Physeter macrocephalus",27.3,"Pacifici et al. (2013, NatCons)"
"Balaenoptera edeni",27.5,"Pacifici et al. (2013, NatCons)"
"Eschrichtius robustus",28.6,"Pacifici et al. (2013, NatCons)"
"Eligmodontia moreni",0.4,"Pacifici et al. (2013, NatCons)"
"Reithrodontomys raviventris",0.6,"Pacifici et al. (2013, NatCons)"
"Reithrodontomys paradoxus",0.6,"Pacifici et al. (2013, NatCons)"
"Reithrodontomys bakeri",0.6,"Pacifici et al. (2013, NatCons)"
"Reithrodontomys burti",0.6,"Pacifici et al. (2013, NatCons)"
"Reithrodontomys hirsutus",0.6,"Pacifici et al. (2013, NatCons)"
"Reithrodontomys tenuirostris",0.6,"Pacifici et al. (2013, NatCons)"
"Reithrodontomys spectabilis",0.6,"Pacifici et al. (2013, NatCons)"
"Lemmus portenkoi",0.8,"Pacifici et al. (2013, NatCons)"
"Oryzomys gorgasi",0.9,"Pacifici et al. (2013, NatCons)"
"Cryptotis obscura",0.9,"Pacifici et al. (2013, NatCons)"
"Cryptotis magna",0.9,"Pacifici et al. (2013, NatCons)"
"Cryptotis gracilis",0.9,"Pacifici et al. (2013, NatCons)"
"Cryptotis endersi",0.9,"Pacifici et al. (2013, NatCons)"
"Cryptotis nelsoni",0.9,"Pacifici et al. (2013, NatCons)"
"Cryptotis phillipsii",0.9,"Pacifici et al. (2013, NatCons)"
"Cryptotis hondurensis",0.9,"Pacifici et al. (2013, NatCons)"
"Cryptotis peregrina",0.9,"Pacifici et al. (2013, NatCons)"
"Cryptotis peruviensis",0.9,"Pacifici et al. (2013, NatCons)"
"Cryptotis brachyonyx",0.9,"Pacifici et al. (2013, NatCons)"
"Cryptotis tropicalis",0.9,"Pacifici et al. (2013, NatCons)"
"Cryptotis alticola",0.9,"Pacifici et al. (2013, NatCons)"
"Cryptotis orophila",0.9,"Pacifici et al. (2013, NatCons)"
"Cryptotis griseoventris",0.9,"Pacifici et al. (2013, NatCons)"
"Sorex alaskanus",0.9,"Pacifici et al. (2013, NatCons)"
"Sorex mirabilis",0.9,"Pacifici et al. (2013, NatCons)"
"Suncus ater",1,"Pacifici et al. (2013, NatCons)"
"Suncus hosei",1,"Pacifici et al. (2013, NatCons)"
"Suncus montanus",1,"Pacifici et al. (2013, NatCons)"
"Suncus zeylanicus",1,"Pacifici et al. (2013, NatCons)"
"Microtus savii",1,"Pacifici et al. (2013, NatCons)"
"Microtus brachycercus",1,"Pacifici et al. (2013, NatCons)"
"Microtus duodecimcostatus",1,"Pacifici et al. (2013, NatCons)"
"Microtus thomasi",1,"Pacifici et al. (2013, NatCons)"
"Microtus multiplex",1,"Pacifici et al. (2013, NatCons)"
"Microtus bavaricus",1,"Pacifici et al. (2013, NatCons)"
"Microtus liechtensteini",1,"Pacifici et al. (2013, NatCons)"
"Microtus lusitanicus",1,"Pacifici et al. (2013, NatCons)"
"Microtus oaxacensis",1,"Pacifici et al. (2013, NatCons)"
"Microtus irani",1,"Pacifici et al. (2013, NatCons)"
"Microtus nasarovi",1,"Pacifici et al. (2013, NatCons)"
"Microtus felteni",1,"Pacifici et al. (2013, NatCons)"
"Microtus anatolicus",1,"Pacifici et al. (2013, NatCons)"
"Microtus dogramacii",1,"Pacifici et al. (2013, NatCons)"
"Microtus qazvinensis",1,"Pacifici et al. (2013, NatCons)"
"Microtus quasiater",1,"Pacifici et al. (2013, NatCons)"
"Microtus tatricus",1,"Pacifici et al. (2013, NatCons)"
"Microtus guatemalensis",1,"Pacifici et al. (2013, NatCons)"
"Microtus umbrosus",1,"Pacifici et al. (2013, NatCons)"
"Microtus schelkovnikovi",1,"Pacifici et al. (2013, NatCons)"
"Microtus cabrerae",1,"Pacifici et al. (2013, NatCons)"
"Microtus breweri",1,"Pacifici et al. (2013, NatCons)"
"Microtus xanthognathus",1,"Pacifici et al. (2013, NatCons)"
"Paracrocidura graueri",1,"Pacifici et al. (2013, NatCons)"
"Myosorex schalleri",1,"Pacifici et al. (2013, NatCons)"
"Myosorex tenuis",1,"Pacifici et al. (2013, NatCons)"
"Myosorex kihaulei",1,"Pacifici et al. (2013, NatCons)"
"Myosorex zinki",1,"Pacifici et al. (2013, NatCons)"
"Myosorex varius",1,"Pacifici et al. (2013, NatCons)"
"Blarinella quadraticauda",1,"Pacifici et al. (2013, NatCons)"
"Myosorex longicaudatus",1,"Pacifici et al. (2013, NatCons)"
"Sylvisorex morio",1,"Pacifici et al. (2013, NatCons)"
"Myosorex rumpii",1,"Pacifici et al. (2013, NatCons)"
"Myosorex blarina",1,"Pacifici et al. (2013, NatCons)"
"Anourosorex schmidi",1,"Pacifici et al. (2013, NatCons)"
"Ruwenzorisorex suncoides",1,"Pacifici et al. (2013, NatCons)"
"Surdisorex norae",1,"Pacifici et al. (2013, NatCons)"
"Chimarrogale sumatrana",1,"Pacifici et al. (2013, NatCons)"
"Chimarrogale phaeura",1,"Pacifici et al. (2013, NatCons)"
"Feroculus feroculus",1,"Pacifici et al. (2013, NatCons)"
"Chimarrogale hantu",1,"Pacifici et al. (2013, NatCons)"
"Congosorex polli",1.1,"Pacifici et al. (2013, NatCons)"
"Congosorex phillipsorum",1.1,"Pacifici et al. (2013, NatCons)"
"Crocidura planiceps",1.1,"Pacifici et al. (2013, NatCons)"
"Crocidura bottegi",1.1,"Pacifici et al. (2013, NatCons)"
"Crocidura douceti",1.1,"Pacifici et al. (2013, NatCons)"
"Crocidura aleksandrisi",1.1,"Pacifici et al. (2013, NatCons)"
"Crocidura horsfieldii",1.1,"Pacifici et al. (2013, NatCons)"
"Crocidura whitakeri",1.1,"Pacifici et al. (2013, NatCons)"
"Crocidura tarfayensis",1.1,"Pacifici et al. (2013, NatCons)"
"Crocidura gracilipes",1.1,"Pacifici et al. (2013, NatCons)"
"Crocidura sicula",1.1,"Pacifici et al. (2013, NatCons)"
"Crocidura religiosa",1.1,"Pacifici et al. (2013, NatCons)"
"Crocidura allex",1.1,"Pacifici et al. (2013, NatCons)"
"Crocidura canariensis",1.1,"Pacifici et al. (2013, NatCons)"
"Crocidura zimmermanni",1.1,"Pacifici et al. (2013, NatCons)"
"Crocidura lanosa",1.1,"Pacifici et al. (2013, NatCons)"
"Crocidura ansellorum",1.1,"Pacifici et al. (2013, NatCons)"
"Crocidura baileyi",1.1,"Pacifici et al. (2013, NatCons)"
"Crocidura glassi",1.1,"Pacifici et al. (2013, NatCons)"
"Crocidura lucina",1.1,"Pacifici et al. (2013, NatCons)"
"Crocidura manengubae",1.1,"Pacifici et al. (2013, NatCons)"
"Crocidura phaeura",1.1,"Pacifici et al. (2013, NatCons)"
"Crocidura stenocephala",1.1,"Pacifici et al. (2013, NatCons)"
"Crocidura thomensis",1.1,"Pacifici et al. (2013, NatCons)"
"Crocidura hispida",1.1,"Pacifici et al. (2013, NatCons)"
"Crocidura bottegoides",1.1,"Pacifici et al. (2013, NatCons)"
"Crocidura harenna",1.1,"Pacifici et al. (2013, NatCons)"
"Crocidura macmillani",1.1,"Pacifici et al. (2013, NatCons)"
"Crocidura picea",1.1,"Pacifici et al. (2013, NatCons)"
"Crocidura pachyura",1.1,"Pacifici et al. (2013, NatCons)"
"Crocidura tarella",1.1,"Pacifici et al. (2013, NatCons)"
"Crocidura trichura",1.1,"Pacifici et al. (2013, NatCons)"
"Crocidura baluensis",1.1,"Pacifici et al. (2013, NatCons)"
"Sorex milleri",1.2,"Pacifici et al. (2013, NatCons)"
"Sorex granarius",1.2,"Pacifici et al. (2013, NatCons)"
"Sorex neomexicanus",1.2,"Pacifici et al. (2013, NatCons)"
"Sorex sclateri",1.2,"Pacifici et al. (2013, NatCons)"
"Sorex stizodon",1.2,"Pacifici et al. (2013, NatCons)"
"Sorex cansulus",1.2,"Pacifici et al. (2013, NatCons)"
"Sorex kozlovi",1.2,"Pacifici et al. (2013, NatCons)"
"Sorex leucogaster",1.2,"Pacifici et al. (2013, NatCons)"
"Sorex sinalis",1.2,"Pacifici et al. (2013, NatCons)"
"Sorex pribilofensis",1.2,"Pacifici et al. (2013, NatCons)"
"Sorex portenkoi",1.2,"Pacifici et al. (2013, NatCons)"
"Sorex thibetanus",1.2,"Pacifici et al. (2013, NatCons)"
"Sorex ixtlanensis",1.2,"Pacifici et al. (2013, NatCons)"
"Sorex antinorii",1.2,"Pacifici et al. (2013, NatCons)"
"Sorex alpinus",1.2,"Pacifici et al. (2013, NatCons)"
"Sorex samniticus",1.2,"Pacifici et al. (2013, NatCons)"
"Sorex macrodon",1.2,"Pacifici et al. (2013, NatCons)"
"Sylvisorex vulcanorum",1.2,"Pacifici et al. (2013, NatCons)"
"Sylvisorex howelli",1.2,"Pacifici et al. (2013, NatCons)"
"Notiosorex villai",1.2,"Pacifici et al. (2013, NatCons)"
"Sylvisorex konganensis",1.2,"Pacifici et al. (2013, NatCons)"
"Chodsigoa salenskii",1.2,"Pacifici et al. (2013, NatCons)"
"Sylvisorex camerunensis",1.2,"Pacifici et al. (2013, NatCons)"
"Myosorex eisentrauti",1.2,"Pacifici et al. (2013, NatCons)"
"Myosorex okuensis",1.2,"Pacifici et al. (2013, NatCons)"
"Myosorex sclateri",1.2,"Pacifici et al. (2013, NatCons)"
"Paracrocidura maxima",1.2,"Pacifici et al. (2013, NatCons)"
"Solisorex pearsoni",1.2,"Pacifici et al. (2013, NatCons)"
"Sylvisorex isabellae",1.2,"Pacifici et al. (2013, NatCons)"
"Sylvisorex oriundus",1.2,"Pacifici et al. (2013, NatCons)"
"Sylvisorex pluvialis",1.2,"Pacifici et al. (2013, NatCons)"
"Surdisorex polulus",1.2,"Pacifici et al. (2013, NatCons)"
"Myosorex babaulti",1.2,"Pacifici et al. (2013, NatCons)"
"Myosorex geata",1.2,"Pacifici et al. (2013, NatCons)"
"Chodsigoa caovansunga",1.2,"Pacifici et al. (2013, NatCons)"
"Chodsigoa parva",1.2,"Pacifici et al. (2013, NatCons)"
"Chodsigoa sodalis",1.2,"Pacifici et al. (2013, NatCons)"
"Crocidura buettikoferi",1.2,"Pacifici et al. (2013, NatCons)"
"Crocidura arispa",1.2,"Pacifici et al. (2013, NatCons)"
"Crocidura miya",1.2,"Pacifici et al. (2013, NatCons)"
"Crocidura desperata",1.2,"Pacifici et al. (2013, NatCons)"
"Crocidura negrina",1.2,"Pacifici et al. (2013, NatCons)"
"Crocidura polia",1.2,"Pacifici et al. (2013, NatCons)"
"Crocidura selina",1.2,"Pacifici et al. (2013, NatCons)"
"Crocidura armenica",1.2,"Pacifici et al. (2013, NatCons)"
"Crocidura floweri",1.2,"Pacifici et al. (2013, NatCons)"
"Crocidura grandis",1.2,"Pacifici et al. (2013, NatCons)"
"Crocidura mindorus",1.2,"Pacifici et al. (2013, NatCons)"
"Crocidura pergrisea",1.2,"Pacifici et al. (2013, NatCons)"
"Crocidura susiana",1.2,"Pacifici et al. (2013, NatCons)"
"Crocidura tenuis",1.2,"Pacifici et al. (2013, NatCons)"
"Crocidura erica",1.2,"Pacifici et al. (2013, NatCons)"
"Crocidura fischeri",1.2,"Pacifici et al. (2013, NatCons)"
"Crocidura macowi",1.2,"Pacifici et al. (2013, NatCons)"
"Crocidura pitmani",1.2,"Pacifici et al. (2013, NatCons)"
"Crocidura pullata",1.2,"Pacifici et al. (2013, NatCons)"
"Crocidura zaphiri",1.2,"Pacifici et al. (2013, NatCons)"
"Crocidura hilliana",1.2,"Pacifici et al. (2013, NatCons)"
"Crocidura wuchihensis",1.2,"Pacifici et al. (2013, NatCons)"
"Crocidura caspica",1.2,"Pacifici et al. (2013, NatCons)"
"Crocidura vosmaeri",1.2,"Pacifici et al. (2013, NatCons)"
"Crocidura hikmiya",1.2,"Pacifici et al. (2013, NatCons)"
"Crocidura virgata",1.2,"Pacifici et al. (2013, NatCons)"
"Crocidura katinka",1.2,"Pacifici et al. (2013, NatCons)"
"Crocidura musseri",1.2,"Pacifici et al. (2013, NatCons)"
"Crocidura ramona",1.2,"Pacifici et al. (2013, NatCons)"
"Crocidura rapax",1.2,"Pacifici et al. (2013, NatCons)"
"Crocidura dhofarensis",1.2,"Pacifici et al. (2013, NatCons)"
"Crocidura usambarae",1.2,"Pacifici et al. (2013, NatCons)"
"Crocidura tansaniana",1.2,"Pacifici et al. (2013, NatCons)"
"Crocidura orientalis",1.2,"Pacifici et al. (2013, NatCons)"
"Crocidura jenkinsi",1.2,"Pacifici et al. (2013, NatCons)"
