Species,Date,Parameter,Count,Definition,Value
NA,NA,AOH_MarginalHabitatPreference,0,Marginal habitat preference used to calculate Area of Habitat (we calculate an AOH without them and one with them to provide the range of AOH),NA
NA,NA,AOH_ElevationPreference,0,Elevation preference used to calculate Area of Habitat,NA
NA,NA,AOH_GenerationLength,0,Generation Length used to calculate trends in Area of Habitat,NA
NA,NA,AOH_Density,0,Density (mature ind per km2) used to calculate population size,NA
NA,NA,Density_Calculator,0,Values entered in the density calculator (either in the AOH or fragmentation step): Density in individuals within occupied habitat / % of mature individuals / % of occupied habitat within suitable habitat / resulting density,NA
NA,NA,Fragmentation_Density,0,Density (mature ind per km2) used to calculate fragmentation,NA
NA,NA,Fragmentation_Isolation,0,Distance (in km) above which subpopulations are considered isolated,NA
NA,NA,Estimated_EOO_raw,0,This is the original EOO value calculated by the platform (it might differ from the value in allfields.csv if you manually edited this value),NA
NA,NA,Estimated_AOO_raw,0,This is the original AOO value calculated by the platform (it might differ from the value in allfields.csv if you manually edited this value),NA
NA,NA,Estimated_PopSize_raw,0,This is the original Population Size value calculated by the platform (it might differ from the value in allfields.csv if you manually edited this value),NA
NA,NA,Estimated_PopTrends_raw,0,This is the original Population Trends value calculated by the platform (it might differ from the value in allfields.csv if you manually edited this value),NA
NA,NA,Estimated_PopTrendsDir_raw,0,This is the original direction of Population Trends calculated by the platform (it might differ from the value in allfields.csv if you manually edited this value),NA
NA,NA,RS_result_Forest_cover,0,Result of trends in Remote-sensing products (step 6b) for Forest Cover. It includes the current coverage / the absolute trends / the relative trends / the time-window.,NA
NA,NA,RS_result_Human_modification,0,Result of trends in Remote-sensing products (step 6b) for Human modification index. It includes the current value / the absolute trends / the relative trends / the time-window.,NA
NA,NA,RS_result_Human_density,0,Result of trends in Remote-sensing products (step 6b) for Human population density. It includes the current value / the absolute trends / the relative trends / the time-window.,NA
NA,NA,Original_density,0,Original density estimate suggested by the platform,NA
NA,NA,Original_GL,0,Original generation length estimate suggested by the platform,NA
NA,NA,Original_altpref,0,Only used to track usage,NA
NA,NA,Col_allfields,0,Only used to track usage,NA
NA,NA,Usage_RS,0,Only used to track usage,NA
NA,NA,AOH_RangeType,0,Only used to track usage,NA
NA,NA,AOH_HabitatORIGINAL,0,Only used to track usage,NA
NA,NA,AOH_HabitatMarginalORIGINAL,0,Only used to track usage,NA
NA,NA,AOH_time,0,Only used to track usage,NA
NA,NA,Estimated_AOH22,0,Only used to track usage,NA
NA,NA,EOO_leaflet,0,Only used to track usage,NA
NA,NA,AOO_leaflet,0,Only used to track usage,NA
NA,NA,AOH_leaflet,0,Only used to track usage,NA
NA,NA,Trends_leaflet,0,Only used to track usage,NA
NA,NA,RS_leaflet,0,Only used to track usage,NA
NA,NA,Gbif_Extract_Elevation,0,Only used to track usage,NA
NA,NA,Gbif_Extract_Habitat,0,Only used to track usage,NA
